"Unnormalised"
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666667,0.00333333,0.0133333,0.00333333,0.0166667,0.0266667,0.09,0.106667,0.2,0.19,0.17,0.113333,0.04,0.0166667,0.00333333,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0.00285714,0,0,0.00285714,0.00285714,0,0,0.00285714,0.00285714,0,0.00285714,0.00285714,0,0,0,0.00285714,0,0,0.00857143,0,0.0114286,0.0171429,0.0628571,0.0742857,0.114286,0.191429,0.2,0.14,0.0885714,0.0428571,0.0228571,0.00285714,0,0,0,0,0,0,0,0,
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0.0025,0,0.005,0.0025,0.0025,0.0025,0.005,0.005,0.005,0.0025,0.0075,0.0025,0.005,0.015,0.03,0.025,0.04,0.0775,0.095,0.1225,0.1525,0.17,0.0925,0.0625,0.0325,0.0225,0.005,0.0025,0,0,0,0,0,0,0,0,
0.0177778,0.0222222,0.00444444,0.00666667,0.00222222,0,0.00444444,0.00444444,0.00444444,0,0,0,0.00222222,0.00222222,0.00666667,0.00222222,0.00444444,0.00444444,0.00888889,0.00222222,0.00222222,0,0.00444444,0.00666667,0.00222222,0.00444444,0.0133333,0.0177778,0.0155556,0.0133333,0.0444444,0.0666667,0.0777778,0.12,0.135556,0.113333,0.12,0.0622222,0.0555556,0.0177778,0.00666667,0,0,0,0,0,0,0,0,0,0,
0.022,0.01,0.004,0,0,0,0.002,0,0,0,0,0,0,0,0.002,0,0.002,0.002,0.004,0.004,0.008,0.008,0.01,0.008,0.01,0.022,0.02,0.03,0.034,0.056,0.066,0.11,0.122,0.112,0.102,0.072,0.074,0.052,0.016,0.012,0.002,0.002,0,0,0,0,0,0,0,0,0,
0.0418182,0.0309091,0.00727273,0,0.00363636,0.00181818,0.00545455,0,0.00363636,0,0,0,0,0.00181818,0.00181818,0,0.00363636,0,0.00727273,0.00363636,0.0127273,0.0163636,0.0127273,0.0254545,0.00727273,0.0327273,0.0363636,0.0490909,0.0727273,0.0927273,0.110909,0.103636,0.110909,0.0709091,0.0618182,0.0345455,0.0254545,0.00909091,0.00181818,0,0,0,0,0,0,0,0,0,0,0,0,
0.0633333,0.0166667,0.00166667,0.005,0.00833333,0.00166667,0.00333333,0.00166667,0.00166667,0.00833333,0.0133333,0.00666667,0.00833333,0.02,0.005,0.0166667,0.005,0.0216667,0.0183333,0.0116667,0.0233333,0.0283333,0.0283333,0.0266667,0.025,0.0366667,0.0416667,0.0633333,0.085,0.07,0.0966667,0.08,0.0683333,0.0433333,0.0266667,0.01,0.00666667,0.00166667,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.115385,0.0692308,0.00307692,0.00307692,0.00307692,0.00461538,0.00461538,0.0123077,0.00615385,0.00615385,0.00615385,0.00923077,0.00307692,0.0123077,0.00923077,0.00923077,0.0123077,0.0123077,0.0230769,0.0246154,0.0246154,0.0184615,0.0323077,0.0323077,0.0507692,0.0446154,0.0492308,0.0692308,0.0646154,0.08,0.0569231,0.0523077,0.0353846,0.0215385,0.0107692,0.00461538,0.00153846,0.00153846,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.175714,0.1,0.0128571,0.00571429,0.00714286,0.00571429,0.0142857,0.01,0.0142857,0.00714286,0.00571429,0,0.00285714,0.0157143,0.00857143,0.0128571,0.00714286,0.0171429,0.01,0.0214286,0.0185714,0.03,0.0371429,0.0442857,0.0671429,0.0571429,0.0642857,0.0742857,0.0628571,0.0357143,0.0328571,0.00714286,0.00714286,0.00571429,0.00142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.24,0.189333,0.0173333,0.016,0.0133333,0.00666667,0.00266667,0.0106667,0.00933333,0.0106667,0.008,0.0133333,0.008,0.00133333,0.004,0.02,0.0213333,0.0213333,0.0213333,0.0333333,0.0293333,0.0386667,0.0386667,0.0293333,0.036,0.0333333,0.0466667,0.0186667,0.016,0.0106667,0.0133333,0.00933333,0.00533333,0.00533333,0.00133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
