"Experiment #0"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
5,0.239078,0.879826,1.39189,0.367762,1,-0.1,0,3,5
6,0.159281,0.879826,1.38238,0.377263,1,-0.1,0,3,5
7,0.106236,0.879826,1.36907,0.390585,1,-0.1,0,3,5
8,0.0791526,0.879826,1.35561,0.404041,1,-0.1,0,3,5
9,0.0647543,0.879826,1.3426,0.417052,1,-0.1,0,3,5
10,0.0513469,0.879826,1.3319,0.427755,1,-0.1,0,3,5
11,0.0411447,0.879826,1.32263,0.437018,1,-0.1,0,3,5
12,0.0453945,0.879826,1.31451,0.445137,1,-0.1,0,3,5
13,0.0582898,0.879826,1.30671,0.452943,1,-0.1,0,3,5
14,0.0697397,0.879826,1.29868,0.460978,1,-0.1,0,3,5
"Experiment #19"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.620035,0.704879,0,1.40976,1,-0.1,-6,3,9
1,0.45559,0.704879,1.00039,0.409374,1,-0.1,-6,3,9
2,0.319201,0.704879,1.09951,0.310256,1,-0.1,-6,3,9
3,0.186145,0.704879,1.1354,0.27436,1,-0.1,-6,3,9
4,0.0660068,0.704879,1.12324,0.286519,1,-0.1,-6,3,9
5,0.0412148,0.704879,1.08113,0.328628,1,-0.1,-6,3,9
6,0.0870026,0.704879,1.03807,0.371688,1,-0.1,-6,3,9
7,0.106315,0.704879,1.01967,0.390087,1,-0.1,-6,3,9
8,0.0976045,0.704879,1.02932,0.380442,1,-0.1,-6,3,9
9,0.0726815,0.704879,1.0521,0.357656,1,-0.1,-6,3,9
10,0.0414099,0.704879,1.07524,0.334521,1,-0.1,-6,3,9
11,0.0152721,0.704879,1.09352,0.316242,1,-0.1,-6,3,9
12,0.0270537,0.704879,1.10567,0.304091,1,-0.1,-6,3,9
13,0.0399561,0.704879,1.11216,0.297605,1,-0.1,-6,3,9
14,0.0450233,0.704879,1.11434,0.295417,1,-0.1,-6,3,9
"Experiment #20"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.926137,0.946041,0,1.89208,1,-0.1,-3,3,9
1,0.660026,0.946041,1.37017,0.521915,1,-0.1,-3,3,9
2,0.463081,0.946041,1.47809,0.413993,1,-0.1,-3,3,9
3,0.247989,0.946041,1.50155,0.390533,1,-0.1,-3,3,9
4,0.0543315,0.946041,1.45328,0.438803,1,-0.1,-3,3,9
5,0.110307,0.946041,1.363,0.529077,1,-0.1,-3,3,9
6,0.213678,0.946041,1.28198,0.610097,1,-0.1,-3,3,9
7,0.239974,0.946041,1.25763,0.634454,1,-0.1,-3,3,9
8,0.198307,0.946041,1.29415,0.597927,1,-0.1,-3,3,9
9,0.116332,0.946041,1.35718,0.534902,1,-0.1,-3,3,9
10,0.0394433,0.946041,1.41341,0.478668,1,-0.1,-3,3,9
11,0.061541,0.946041,1.45055,0.441531,1,-0.1,-3,3,9
12,0.0998873,0.946041,1.47021,0.421871,1,-0.1,-3,3,9
13,0.117291,0.946041,1.47593,0.41615,1,-0.1,-3,3,9
14,0.106335,0.946041,1.47076,0.421324,1,-0.1,-3,3,9
"Experiment #21"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.999389,0.999559,0,1.99912,1,-0.1,0,3,9
1,0.704944,0.999559,1.45505,0.544063,1,-0.1,0,3,9
2,0.506333,0.999559,1.55845,0.440664,1,-0.1,0,3,9
3,0.2705,0.999559,1.58098,0.418137,1,-0.1,0,3,9
4,0.0599445,0.999559,1.52655,0.472571,1,-0.1,0,3,9
5,0.125945,0.999559,1.42477,0.574352,1,-0.1,0,3,9
6,0.246445,0.999559,1.33151,0.66761,1,-0.1,0,3,9
7,0.281405,0.999559,1.29983,0.699285,1,-0.1,0,3,9
8,0.22825,0.999559,1.34622,0.652892,1,-0.1,0,3,9
9,0.130673,0.999559,1.42048,0.578633,1,-0.1,0,3,9
10,0.0427531,0.999559,1.48427,0.514848,1,-0.1,0,3,9
11,0.0651971,0.999559,1.52827,0.470848,1,-0.1,0,3,9
12,0.126843,0.999559,1.55088,0.448236,1,-0.1,0,3,9
13,0.150115,0.999559,1.55726,0.441856,1,-0.1,0,3,9
14,0.129865,0.999559,1.55028,0.448843,1,-0.1,0,3,9
"Experiment #22"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.928761,0.947978,0,1.89596,1,-0.1,3,3,9
1,0.664316,0.947978,1.37095,0.525005,1,-0.1,3,3,9
2,0.47626,0.947978,1.47696,0.418992,1,-0.1,3,3,9
3,0.264872,0.947978,1.50526,0.390697,1,-0.1,3,3,9
4,0.0730661,0.947978,1.46282,0.433135,1,-0.1,3,3,9
5,0.0964617,0.947978,1.37447,0.521492,1,-0.1,3,3,9
6,0.205962,0.947978,1.29115,0.604808,1,-0.1,3,3,9
7,0.244255,0.947978,1.25682,0.639141,1,-0.1,3,3,9
8,0.212211,0.947978,1.28538,0.610579,1,-0.1,3,3,9
9,0.138956,0.947978,1.34365,0.552305,1,-0.1,3,3,9
10,0.0527112,0.947978,1.40153,0.494428,1,-0.1,3,3,9
11,0.0496404,0.947978,1.44447,0.451481,1,-0.1,3,3,9
12,0.0930661,0.947978,1.46991,0.42605,1,-0.1,3,3,9
13,0.121923,0.947978,1.48003,0.415928,1,-0.1,3,3,9
14,0.120229,0.947978,1.47861,0.41735,1,-0.1,3,3,9
"Experiment #23"
distance,correlation,entropy,joint_entropy,mutual_info,J1,J2,h,R1,R2
0,0.510371,0.609951,0,1.2199,1,-0.1,6,3,9
1,0.382594,0.609951,0.854486,0.365416,1,-0.1,6,3,9
2,0.280927,0.609951,0.941862,0.278039,1,-0.1,6,3,9
3,0.178149,0.609951,0.984609,0.235292,1,-0.1,6,3,9
4,0.0871772,0.609951,0.989649,0.230251,1,-0.1,6,3,9
5,0.0166506,0.609951,0.96846,0.251441,1,-0.1,6,3,9
6,0.0409247,0.609951,0.938261,0.281641,1,-0.1,6,3,9
7,0.0615332,0.609951,0.920512,0.29939,1,-0.1,6,3,9
8,0.0610173,0.609951,0.921311,0.29859,1,-0.1,6,3,9
9,0.0505543,0.609951,0.930851,0.289051,1,-0.1,6,3,9
