"Epoch","Error X","Error Y","Error Z","Error W","Global Best X","Global Best Y","Global Best Z","Global Best W"
118,0.0002207160186175972,0.00005612166479793638,0.00011067999150191986,0.00010427529272607531,19.999998617704268,7.000000395650695,6.999999532718486,-12.000000000572195
119,0.00016816210570764773,0.00005422552852603942,0.00009059227784199612,0.00007834117955985467,19.999998617704268,7.000000395650695,6.999999532718486,-12.000000000572195
120,0.00009589975435407021,0.00002641455432364015,0.0000363649574467179,0.000051899409035209734,19.999998617704268,7.000000395650695,6.999999532718486,-12.000000000572195
121,0.00008047400378975112,0.000006133352523369297,0.00001557403758282543,0.0000476598995112356,19.99999886719876,7.000000230298702,6.999999675781975,-11.9999996867882
122,0.00005518739826395769,0.000012171066748186597,0.000023439175540982026,0.00002731519879297009,19.99999886719876,7.000000230298702,6.999999675781975,-11.9999996867882
123,0.000075273652832154,0.00002360549043346945,0.00004351513703486313,0.00003575401130845034,19.99999899404253,7.000000411972501,7.0000000924755605,-12.000000316487164
124,0.0000293046178840948,0.00000710254925531671,0.000016503765506045516,0.000019957718298912777,19.99999899404253,7.000000411972501,7.0000000924755605,-12.000000316487164
125,0.00003288991433379146,0.000006525070288093744,0.000014844270641384673,0.000017274272327672983,19.9999998091541,7.000000878879902,6.999999874359489,-12.000000554082664
126,0.000040309914929993594,0.000008706594156033788,0.00001908576650266273,0.000020424700606130575,19.999999877511854,7.000000702794313,6.999999922778818,-12.000000644875009
127,0.00002935038230695643,0.000006672746515958967,0.000015380882359741843,0.000014954472639797554,20.000000095930368,6.999999823641743,7.000000722009043,-12.000000116647087
128,0.000026132486184442694,0.0000056359096990167715,0.000014505641198064981,0.000013440675845074614,20.000000118839974,6.999999542671841,6.9999999033407825,-12.000000303593499
129,0.00002017419949240719,0.000004804225332801082,0.00001120753550213629,0.000009758447918623152,20.00000000362479,6.999999896089584,7.000000313992263,-12.000000292768785
130,0.000008959859540795937,0.0000019019898997023384,0.0000040445125121133276,0.000004687780772416941,20.00000000362479,6.999999896089584,7.000000313992263,-12.000000292768785
131,0.000001519880951156475,5.713498921943933e-7,9.613382752957103e-7,0.0000011229591658558648,20.00000003799725,6.999999893678483,7.000000416126565,-11.99999994308939
132,0.00000344149942027759,0.0000011311876945541795,0.0000018949927713612697,0.000002053459778508271,19.999999952427665,6.9999999036410285,7.000000268030109,-12.000000117739415
133,0.000006144701438467913,0.000001155105707387038,0.0000023951331974927904,0.0000034229315697561378,19.999999952427665,6.9999999036410285,7.000000268030109,-12.000000117739415
134,0.0000026090181296541703,2.497945084508396e-7,6.500903249998823e-7,0.0000014722572573501964,19.999999958174893,7.000000095939429,7.000000260175058,-12.000000051200722
135,1.0399290411776302e-7,6.296019503082078e-8,4.929141664793942e-8,8.739283420651664e-8,19.99999993937096,7.000000221442974,7.000000151690802,-12.000000060819781
136,0.00000205734899356405,2.9927195867498384e-7,5.400889165396181e-7,0.0000012471435386778748,20.000000010016986,6.999999966183245,6.999999836254347,-11.999999931744185
137,0.0000028619078510478157,3.38825859136692e-7,7.12776391387484e-7,0.0000015437443622151905,20.000000053031773,6.999999994925446,7.00000000765164,-11.99999991637485
138,0.0000011964597949179679,2.3930476394420234e-7,4.2370902545934823e-7,4.89793167639097e-7,20.000000053031773,6.999999994925446,7.00000000765164,-11.99999991637485
139,5.340519519192933e-7,5.625913450804885e-8,1.3989177379395163e-7,3.620411012068305e-7,20.000000053031773,6.999999994925446,7.00000000765164,-11.99999991637485
140,7.188804166081132e-7,8.683957030924746e-8,1.6198691674764694e-7,3.6771125097637364e-7,20.000000053031773,6.999999994925446,7.00000000765164,-11.99999991637485
141,0.0000010765276673970989,1.6477222291157675e-7,3.150103870400041e-7,4.5831377959134353e-7,20.000000053031773,6.999999994925446,7.00000000765164,-11.99999991637485
142,7.948409055716707e-7,1.5207939212216953e-7,4.1052056482652626e-7,3.901804509297668e-7,19.999999928737072,7.000000047772979,6.999999973968141,-11.999999959492966
143,6.779551517448096e-7,1.1242736948091424e-7,3.111124180670036e-7,3.3958578858084496e-7,19.99999996020534,7.000000004767452,6.999999981525284,-12.000000025019457
144,4.714299732856492e-7,5.53810768173892e-8,8.747567091010993e-8,2.0022973924515698e-7,19.99999996020534,7.000000004767452,6.999999981525284,-12.000000025019457
145,4.133021797307065e-7,4.32868922934761e-8,5.1612333628056973e-8,1.540007349676487e-7,19.99999996020534,7.000000004767452,6.999999981525284,-12.000000025019457
146,3.327293315331869e-7,5.59051095304849e-8,1.5109387400391256e-7,1.5653858016625542e-7,19.99999996020534,7.000000004767452,6.999999981525284,-12.000000025019457
147,1.0692829475134169e-7,1.9387935470203196e-8,2.9975524369578035e-8,3.778581084133663e-8,19.99999996723819,7.000000011104434,7.000000001621226,-12.000000004988957
148,1.7681879167625337e-7,2.1270031025154133e-8,2.447192720668033e-8,5.8638311775399604e-8,19.99999997524596,6.9999999915867805,6.999999994271369,-11.999999985395378
149,2.9809076756658846e-7,3.8309861339720585e-8,7.484566569550232e-8,1.1442372473090334e-7,20.00000000073098,6.999999990750381,7.0000000105810365,-11.999999981604391
150,1.6554936207073804e-7,2.3056301663740872e-8,5.1185066103476456e-8,6.826823377979699e-8,20.00000000073098,6.999999990750381,7.0000000105810365,-11.999999981604391
